PROCESSID,PROCESSNAME,STATUS,STARTTIME
365,systemd-udevd,sleeping,1668052230.74
367,nv_queue,sleeping,1668052231.74
368,nv_queue,sleeping,1668052231.74
405,nvidia-modeset/,sleeping,1668052232.02
406,nvidia-modeset/,sleeping,1668052232.02
410,tpm_dev_wq,idle,1668052232.53
420,cfg80211,idle,1668052233.13
422,irq/127-ELAN050,sleeping,1668052233.25
450,irq/128-iwlwifi,sleeping,1668052233.52
451,irq/129-iwlwifi,sleeping,1668052233.52
452,irq/130-iwlwifi,sleeping,1668052233.52
453,irq/131-iwlwifi,sleeping,1668052233.52
454,irq/132-iwlwifi,sleeping,1668052233.52
455,irq/133-iwlwifi,sleeping,1668052233.52
456,card1-crtc0,sleeping,1668052233.53
457,card1-crtc1,sleeping,1668052233.53
458,card1-crtc2,sleeping,1668052233.53
462,kmpathd,idle,1668052233.55
463,kmpath_handlerd,idle,1668052233.56
466,cryptd,idle,1668052233.65
756,UVM global queu,sleeping,1668052237.72
757,UVM deferred re,sleeping,1668052237.72
758,UVM Tools Event,sleeping,1668052237.72
778,systemd-timesyncd,sleeping,1668052241.88
784,bluetoothd,sleeping,1668052242.1
785,dbus-daemon,sleeping,1668052242.1
786,polkitd,sleeping,1668052242.11
788,systemd-logind,sleeping,1668052242.12
821,NetworkManager,sleeping,1668052243.29
851,ModemManager,sleeping,1668052243.84
875,cupsd,sleeping,1668052244.94
878,gdm,sleeping,1668052245.06
924,accounts-daemon,sleeping,1668052246.39
951,wpa_supplicant,sleeping,1668052247.63
989,irq/137-nvidia,sleeping,1668052254.39
991,nv_queue,sleeping,1668052254.39
1079,upowerd,sleeping,1668052266.67
1081,power-profiles-daemon,sleeping,1668052266.69
1094,rtkit-daemon,sleeping,1668052267.76
1208,colord,sleeping,1668052269.51
1362,gdm-session-worker,sleeping,1668052284.16
1378,systemd,sleeping,1668052291.44
1381,(sd-pam),sleeping,1668052291.46
1392,gnome-keyring-daemon,sleeping,1668052292.11
1398,dbus-daemon,sleeping,1668052292.62
